,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood
103,J733-S_flow,1.6668842333665403,1.6673524942543514,1.6674615168274671,1.6574274421952309,1.6574292141980127,1.6668681480688676,J733-S,"('Canton', 'Northside, Drains to Harbor')"
104,J748-S_flow,3.0538472896309963,3.02213996088987,3.064033264269244,2.9818469078830825,1.7619000094889052,1.7862421837348244,J748-S,"('Washington Hill', 'Canal Street Creek')"
105,J749-S_flow,4.036696045785018,3.2249430115500006,4.036938436782624,3.1852208709568504,2.584221878005517,3.242779715659861,J749-S,"('Fells Point', 'Canal Street Creek')"
106,J751-S_flow,2.080340938941469,2.08023263393035,2.0802861668420247,2.0663386170447358,2.0663907729086786,2.080340938941469,J751-S,"('Fells Point', 'Northside, Drains to Harbor')"
107,J756-S_flow,5.731885534223125,5.730592447899508,5.731231593542303,5.696620298052812,5.697259074655346,5.731885534223125,J756-S,"('Upper Fells Point', 'Northside, Drains to Harbor')"
108,J758-S_flow,2.0302832120815064,2.0302679420935235,2.030297299184617,2.016712216829973,2.0167409871205653,2.0302805323144613,J758-S,"('Fells Point', 'Northside, Drains to Harbor')"
109,J760-S_flow,1.1101288721428215,1.1100967861719575,1.1101114674368608,1.1100943666523406,1.116620853938003,1.116657388231454,J760-S,"('Fells Point', 'Northside, Drains to Harbor')"
110,J761-S_flow,3.776092510119928,3.054791497277997,3.7761846081642414,3.020055302523564,2.2863955382909045,2.898991420798932,J761-S,"('Fells Point', 'Canal Street Creek')"
111,J762-S_flow,2.27528423389129,2.275937848245491,2.276090025633301,2.262365766867785,2.262368237039762,2.27526178148981,J762-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
112,J764-S_flow,1.7766989989487094,1.776710137094136,1.7767623308036589,1.7647467518749955,1.7069986207462575,1.7184691323713897,J764-S,"('Fells Point', 'Northside, Drains to Harbor')"
113,J765-S_flow,0.740172826600049,0.740184192111401,0.7402964589193275,0.7402673403924819,0.6803706702429705,0.6805060523773439,J765-S,"('Fells Point', 'Northside, Drains to Harbor')"
114,J772-S_flow,5.090994507557539,5.091001111644243,5.090997107410251,5.060025116863773,5.056751613004867,5.08811579736224,J772-S,"('Canton', 'Northside, Drains to Harbor')"
115,J782-S_flow,2.1812797318232744,2.1676332373113545,2.185332476020943,2.1498751569310777,2.172205634730145,2.223352890562073,J782-S,"('Patterson Park', 'Harris Creek')"
116,J787-S_flow,4.321124287208338,4.319963964263726,4.320537487732917,4.295092233367311,4.2956673330257695,4.321124287208338,J787-S,"('Berea', 'Armistead Creek')"
117,J789-S_flow,3.5173968020082405,3.3688063655788696,3.6076475436703146,3.22750572048072,2.0285231046651564,2.0489613071344808,J789-S,"('Dunbar-Broadway', 'Canal Street Creek')"
118,J78-S_flow,3.5137021732530025,3.514903869772936,3.5151836540771955,3.495203347717784,3.495207898364063,3.5136608936015543,J78-S,"('Federal Hill', 'Southside, Drains to Harbor')"
119,J792-S_flow,4.417713561531893,4.416862167527048,4.4172829938543865,4.390242440004085,4.390662730086655,4.417713561531893,J792-S,"('Canton', 'Northside, Drains to Harbor')"
120,J799-S_flow,1.2730167301979685,1.2730168960499202,1.273013943316483,1.263450414941523,1.085017014772501,1.0958787345141197,J799-S,"('Fells Point', 'Northside, Drains to Harbor')"
121,J7-S_flow,2.202589550183837,2.2029209185767016,2.20300085051239,2.189774202459533,2.1901471928485274,2.2029609939374355,J7-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
122,J801-S_flow,4.995922496149796,5.029897430493533,5.029895579274485,4.963835415885057,4.205360983688147,4.2583814154040684,J801-S,"('Broadway East', 'Canal Street Creek')"
123,J80-S_flow,3.054978219328361,3.0553938660094704,3.0551997499550105,3.016173785803101,2.573450985801405,2.608829250795072,J80-S,"('Federal Hill', 'Southside, Drains to Harbor')"
124,J88-S_flow,3.4570127452156902,3.4569523043179093,3.4569821705258086,3.433606977820951,3.433684689336796,3.457062614737012,J88-S,"('Federal Hill', 'Southside, Drains to Harbor')"
125,J8-S_flow,1.5245158013220252,1.524527905707859,1.524532388725302,1.5131215917335006,1.5077958178519189,1.5190738546592903,J8-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
